"name","address","phone"
"Abbey Grange Medical Practice","Abbey Medical Centre, Norman Street, Leeds, West Yorkshire, LS5 3JN","0113 295 1844"
"Abbey Grange Medical Practice 2","Moor Grange Surgery, 60 Moor Grange View, Leeds, West Yorkshire, LS16 5BJ","0113 295 4880"
"Addingham Surgery","Addingham Medical Centre, 151a Main Street, Addingham, Ilkley, West Yorkshire, LS29 0LZ","01943 830367"
"Adwalton House Surgery","1 - 3 Wakefield Road, Drighlington, Bradford, West Yorkshire, BD11 1DH","0333 242 7777"
"Aire Valley Surgery","Silver Lane Surgery, 1 Suffolk Court, Silver Lane, Yeadon, Leeds, West Yorkshire, LS19 7JN","0113 295 4234"
"Aire Valley Surgery (Rawdon)","11 New Road Side, Rawdon, Leeds, LS19 6DD","0113 295 4234"
"Aireborough Family Practice","1 Suffolk Court, Yeadon, Leeds, West Yorkshire, LS19 7JN","0113 391 1950"
"Allerton Medical Centre","6 Montreal Avenue, Leeds, West Yorkshire, LS7 4LF","0113 295 3460"
"Alverthorpe","Balne Lane, Wakefield, West Yorkshire, WF2 0DP","01924 372584"
"Alwoodley Medical Centre","Saxon Mount, Moortown, Leeds, West Yorkshire, LS17 5DT","0113 393 0119"
"Arthington Medical Centre","5 Moor Road, Hunslet, Leeds, West Yorkshire, LS10 2JJ","0113 385 2180"
"Ash Grove","Ash Grove Medical Centre, England Lane, Knottingley, West Yorkshire, WF11 0JA","01977 673141"
"Ashcroft Surgery","Newlands Way, Eccleshill, Bradford, West Yorkshire, BD10 0JE","01274 612279"
"Ashfield Medical Centre","15 Austhorpe Road, Crossgates, Leeds, West Yorkshire, LS15 8BA","0113 295 1828"
"Ashton View Medical Ctr","7 Ashton View, Leeds, West Yorkshire, LS8 5BS","0113 295 3880"
"Ashwell Medical Centre","Ashwell Road, Manningham, Bradford, West Yorkshire, BD8 9DP","01274 490409"
"Avicenna Medical Practice","Ultrasound Services, Huddersfield, HD9 3TP",NA
"Baildon Medical Practice","Baildon Medical Practice, 10 Newton Way, Baildon, Shipley, West Yorkshire, BD17 5NH","01274 581979"
"Batley Health Centre Surgery","Health Centre, 130 Commercial Street, Batley, West Yorkshire, WF17 5ED","01924 767082"
"Beech House Surgery","1 Ash Tree Road, Knaresborough, North Yorkshire, HG5 0UB","01423 542562"
"Beech Tree Medical Centre","178 Henconner Lane, Bramley, Leeds, West Yorkshire, LS13 4JH","0113 263 0112"
"Beeston Village Surgery","6b Town Street, Beeston, Leeds, West Yorkshire, LS11 8PN","0113 272 0720"
"Bellbrooke Surgery","Bellbrooke Avenue, Harehills, Leeds, West Yorkshire, LS9 6AU","0113 887 9565"
"Bevan Community Benefit Society","Bevan House Primary Care, 14 Piccadilly, Bradford, West Yorkshire, BD1 3LS","01274 322400"
"Bilton Medical Centre","120 City Road, Bradford, West Yorkshire, BD8 8JT","01274 782080"
"Bingley Medical Practice","Canalside Health Care Centre, 2 Kingsway, Bingley, West Yorkshire, BD16 4RP","01274 568383"
"Birkenshaw Health Centre","Birkenshaw Health Centre, Town Street, Birkenshaw, Bradford, West Yorkshire, BD11 2HX","01924 552200"
"Blackburn Rd.medical Ctr.","Blackburn Road, Birstall, Batley, West Yorkshire, WF17 9PL","01924 552200"
"Bowling Hall Med Practice","Rooley Lane, Farsley, Bradford, West Yorkshire, BD4 7SS","01274 224888"
"Bradford Moor Practice","Barkerend Health Centre, Barkerend Road, Bradford, West Yorkshire, BD3 8QH","01274 662233"
"Bradford Student Health Service","Laisteridge Lane, Bradford, West Yorkshire, BD5 0HR","01274 371380"
"Bramhope Health Centre","Tredgold Crescent, Bramhope, Leeds, West Yorkshire, LS16 9BR","01943 858300"
"Bramley Village Health & Wellbeing Ctr","16 Highfield Road, Bramley, Leeds, West Yorkshire, LS13 2BL","0113 256 3250"
"Brewery Lane Surgery","37 Warren Street, Dewsbury, West Yorkshire, WF12 9LX","01924 468686"
"Brookroyd House","Brookroyd Surgery, Heckmondwike Health Centre, 16 Union Street, Heckmondwike, West Yorkshire, WF16 0HH","01924 403061"
"Broughton House Gp Surgery","20 New Way, Batley, WF17 5QT","01924 420244"
"Burley Park Medical Centre","273 Burley Road, Leeds, West Yorkshire, LS4 2EL","0113 295 3850"
"Burton Croft Surgery","1 Shire Oak Street, Headingley, Leeds, West Yorkshire, LS6 2AF","0113 274 4777"
"Byram Surgery - Ferrybridge Medical Centre","St Edwards Close, Byram, Knottingley, West Yorkshire, WF11 9NT","01977 664141"
"Calder View Surgery","Dewsbury Health Centre, Wellington Road, Dewsbury, West Yorkshire, WF13 1HN","01924 767266"
"Calverley Surgery","Calverley Medical Centre, 43 Upper Carr Lane, Calverley, Leeds, West Yorkshire, LS28 5PL","0113 257 0061"
"Carlton Gardens Surgery","27 Carlton Gardens, Leeds, West Yorkshire, LS7 1JL",NA
"Castleford Medical Practice","Welbeck Street, Castleford, West Yorkshire, WF10 1DP","01977 801444"
"Chandos Medical Centre","123 Lidgett Lane, Leeds, West Yorkshire, LS8 1QR","0113 221 3510"
"Chapelthorpe","Standbridge Lane, Wakefield, West Yorkshire, WF2 7GP","01924 669080"
"Chapeltown Family Surgery","Spencer Place, Leeds, West Yorkshire, LS7 4BB","0113 240 7000"
"Charles Street Surgery","Charles Street, Otley, West Yorkshire, LS21 1BJ","01943 858300"
"Cherry Tree Surgery","132 Upper Commercial Street, Batley, West Yorkshire, WF17 5DH","01924 471115"
"Chevin Medical Practice","3 Bridge Street, Otley, LS21 1BQ","01943 858300"
"Chickenley Medical Centre","1 Walnut Lane, Dewsbury, West Yorkshire, WF12 8NJ","01924 524736"
"Church Avenue Medical Group","The Surgery, 54 Church Avenue, Harrogate, North Yorkshire, HG1 4HG","01423 564168"
"Church View Surgery","Crossgates Medical Centre, Church View Surgery (2nd Floor), Station Road, Leeds, West Yorkshire, LS15 8BZ","0113 260 0021"
"City View Medical Practice","Beeston Hill Community Health Ctr, 123 Cemetery Road, Beeston, Leeds, LS11 8LH","0113 467 7515"
"Clarendon Medical Centre","Manningham Health Centre, Lumb Lane, Bradford, BD8 7SY","01274 736996"
"Cleckheaton Group Practice","Cross Church Street, Cleckheaton, West Yorkshire, BD19 3RQ","01274 957846"
"Clementhorpe Health Centre","Cherry Street, York, North Yorkshire, YO23 1AP","01904 404100"
"Collingham Church View Surgery","School Lane, Collingham, Wetherby, West Yorkshire, LS22 5BQ","01937 222841"
"Conway Medical Centre","51-53 Conway Place, Leeds, West Yorkshire, LS8 5DE","0113 391 8100"
"Cook Lane Surgery","Cook Lane, Heckmondwike, West Yorkshire, WF16 9JG","01924 402073"
"Cottingley Gp Surgery","115 Cottingley Approach, Leeds, West Yorkshire, LS11 0HJ","0113 295 4388"
"Craven Road Medical Practice","60 Craven Road, Leeds, West Yorkshire, LS6 2RX","0113 295 3530"
"Crofton And Sharlston Med Prac","Slack Lane, Crofton, Wakefield, West Yorkshire, WF4 1HJ","01924 862621"
"Crossflatts Surgery","Thompson Court, Morton Lane, Crossflatts, Bingley, West Yorkshire, BD16 2EP",NA
"Crossley Street Surgery","Crossley Street, Wetherby, West Yorkshire, LS22 6RT","01937 543200"
"Dalton Terrace Surgery","Glentworth, Dalton Terrace, York, North Yorkshire, YO24 4DB","01904 658542"
"Diamond Medical Group","Rutland Lodge, Scott Hall Road, Leeds, LS7 3RA","0113 203 4550"
"Dr B S Browning And Partners","4 Marsh Street, Rothwell, Leeds, West Yorkshire, LS26 0AE","0113 282 3390"
"Dr G Lees & Partners","Armley Moor Medical Centre, 95 Town Street, Leeds, West Yorkshire, LS12 3HD","0113 467 7499"
"Dr Gilkar","392 Little Horton Lane, Bradford, West Yorkshire, BD5 0NX","01274 731700"
"Dr Gilkar: Branch","Birch Medical Centre, Woodroyd Centre, Woodroyd Road, Bradford, West Yorkshire, BD5 8EL","01274 377713"
"Dr I M Raja & Partner","392 Little Horton Lane, Bradford, West Yorkshire, BD5 0NX","01274 721924"
"Dr Mahmood & Partners","Netherfield Road, Dewsbury, West Yorkshire, WF13 3JY","01924 767282"
"Dr N Dumphy & Partners","12 Oakley Terrace, Beeston, Leeds, West Yorkshire, LS11 5HT","0113 272 0900"
"Dr S Hussain","Church Street Surgery, 57 Church Street, Hunslet, Leeds, West Yorkshire, LS10 2PE","0113 271 1884"
"Dr S Hutchinson & Partners, Iw&H M Prac","Iveson Approach, Leeds, West Yorkshire, LS16 6FR","0113 230 3470"
"Dr S M Chen & Partner","The Gables Surgery, 231 Swinnow Road, Swinnow Green, Pudsey, LS28 9AW","0113 257 4730"
"Dr S M Laybourn & Partners","846 York Road, Leeds, West Yorkshire, LS14 6DX","0113 249 3011"
"Dr T P Fox & Partners","Colton Mill Medical Centre, Stile Hill Way, Colton, Leeds, West Yorkshire, LS15 9JH","0113 295 1802"
"Drighlington Medical Centre","Station Road, Drighlington, Bradford, West Yorkshire, BD11 1JU","0113 295 6888"
"Earlsheaton Medical Centre","252 Wakefield Road, Earlsheaton, Dewsbury, West Yorkshire, WF12 8AH","01924 465511"
"East Park Medical Centre","5-7 East Park Road, Leeds, West Yorkshire, LS9 9JD","0113 887 8134"
"Eastgate Medical Group","31b York Place, Knaresborough, North Yorkshire, HG5 0AD","01423 788300"
"Eastmoor Health Centre","Windhill Road, Eastmoor, Wakefield, West Yorkshire, WF1 4SD","01924 201614"
"Eccleshill Community Hospital","Newlands Way, Bradford, BD10 0JE",NA
"Eccleshill Village Surgery","14 Institute Road, Eccleshill, Bradford, West Yorkshire, BD2 2HX","01274 637417"
"Eightlands Surgery","Wellington Road, Dewsbury, West Yorkshire, WF13 1HN","01924 767303"
"Elizabeth Court","Elizabeth Court, Elizabeth Drive, Castleford, West Yorkshire, WF10 3TG","01977 664141"
"Elmwood Surgery","Elmwood Lane, Barwick In Elmet, Leeds, West Yorkshire, LS15 4JX","0113 281 4950"
"Family Doctors","5 Austhorpe View, Halton, Leeds, West Yorkshire, LS15 8NN","0113 260 2262"
"Farfield Group Practice","Farfield Group Practice, West Lane, Keighley, West Yorkshire, BD21 2LD","01535 289260"
"Farrow Medical Centre","177 Otley Road, Bradford, West Yorkshire, BD3 0HX","01274 637031"
"Ferrybridge Medical Centre","8-10 High Street, Ferrybridge, Knottingley, West Yorkshire, WF11 8NQ","01977 664141"
"Fieldhead Surgery","65 New Road Side, Horsforth, Leeds, LS18 4JY","0113 295 3410"
"Foundry Lane Surgery","95 Moresdale Lane, Leeds, West Yorkshire, LS14 6GG","0113 295 1200"
"Friarwood Surgery","Carleton Glen, Pontefract, West Yorkshire, WF8 1SU","01977 704777"
"Frizinghall Medical Centre","274 Keighley Road, Bradford, West Yorkshire, BD9 4LH","01274 495577"
"Front Street Surgery","14 Front Street, Acomb, York, North Yorkshire, YO24 3BZ","01904 794141"
"Front Street Surgery - Copmanthorpe Branch","5 The Shopping Precinct, Main Street, Copmanthorpe, York, North Yorkshire, YO23 3GG","01904 703314"
"Fryston Road Surgery","175 Fryston Road, Airedale, Castleford, West Yorkshire, WF10 3LP","01977 552109"
"Fulford Surgery","2 Fulford Park, Fulford, York, North Yorkshire, YO10 4QE","01904 404100"
"Garforth Medical Centre","Church Lane, Garforth, Leeds, West Yorkshire, LS25 1HB","0113 287 7321"
"Gibson Lane Practice","Gibson Lane, Kippax, Leeds, West Yorkshire, LS25 7JN","0113 287 0870"
"Gildersome Health Centre","Finkle Lane, Gildersome, Morley, Leeds, West Yorkshire, LS27 7HL","0113 253 5134"
"Glenlea Surgery","703 Leeds & Bradford Road, Stanningley, Leeds, West Yorkshire, LS28 6PE","0113 257 0313"
"Glp Hazelwood Avenue Surgery","3-5 Hazelwood Avenue, Garforth, Leeds, West Yorkshire, LS25 2AW","0113 287 0870"
"Grange Medical Centre","1 Horton Grange Road, Bradford, West Yorkshire, BD7 3AH","01274 957908"
"Grange Park Surgery","Grange Road, Burley In Wharfedale, Ilkley, West Yorkshire, LS29 7HG","01943 862108"
"Grove House Surgery","Soothill Lane, Batley, West Yorkshire, WF17 5SS","01924 476363"
"Guiseley And Yeadon Medical Practice 1","Yeadon Health Centre, 17 South View Road,Yeadon, Yeadon, Leeds, West Yorkshire, LS19 7PS","0113 887 9742"
"Guiseley And Yeadon Medical Practice 2","10 Netherfield Road, Guiseley, Leeds, West Yorkshire, LS20 9HE","0113 887 9742"
"Haigh Hall Medical Practice","Haigh Hall Road, Greengates, Bradford, BD10 9AZ","01274 613326"
"Halton Medical Practice","2a Primrose Lane, Leeds, West Yorkshire, LS15 7HR","0113 887 8134"
"Harehills Community Health Centre","427 Harehills Lane, Leeds, LS9 6EY","0113 249 0598"
"Harehills Corner Surgery","209 Roundhay Road, Leeds, West Yorkshire, LS8 4HQ","0113 221 7217"
"Hawthorn Surgery","Wortley Beck Hc, Ring Rd, Lower Wortley, Leeds, West Yorkshire, LS12 5SG","0113 295 4770"
"Haxby Group Practice, Gale Farm Surgery","109-119 Front Street, Acomb, York, North Yorkshire, YO24 3BU","01904 928008"
"Haxby Group Practice, The Old Forge Surgery","The Green, York, North Yorkshire, YO26 6EQ","01904 928008"
"Healds Road Surgery","Healds Road, Dewsbury, West Yorkshire, WF13 4HT","01924 438222"
"Health Care First Partnership","Pinfold Surgery, Pinfold Lane, Mickletown Methley, Leeds, West Yorkshire, LS26 9AA","01977 664141"
"Henry Moore Clinic","26 Smawthorne Lane, Castleford, West Yorkshire, WF10 4EN","01977 552007"
"Highfield Medical Practice","Bowling Highfield Medical Practice, 2 Procter Street, Off Tong Street, Bradford, West Yorkshire, BD4 9QA","01274 651416"
"Highfield Surgery","Holtdale Approach, Leeds, West Yorkshire, LS16 7RX","0113 295 3600"
"Hillfoot Surgery","126 Owlcotes Road, Pudsey, West Yorkshire, LS28 7QR","0113 257 4169"
"Holly Bank Surgery","Headingley Medical Centre, 1 Shire Oak Street, Leeds, Leeds, West Yorkshire, LS6 2AF","0113 295 3530"
"Holmewood Health Centre","Holmewood Road, Bradford, West Yorkshire, BD4 9EJ","01274 683331"
"Holycroft Surgery","Holycroft Surgery, Oakworth Road, Keighley, BD21 1SA","01535 289260"
"Homestead","Homestead Medical Centre, Homestead Drive, Wakefield, West Yorkshire, WF2 9PE","01924 384498"
"Horton Park Medical Practice","Horton Park Centre, 99 Horton Park Avenue, Bradford, West Yorkshire, BD7 3EG","01274 087646"
"Hyde Park Surgery","Woodsley Road, Leeds, West Yorkshire, LS6 1SG","0113 200 1090"
"I G Medical","Ilkley Moor Medical Practice, Springs Lane, Ilkley, West Yorkshire, LS29 8TH","01943 604999"
"Idle Medical Centre","440 Highfield Road, Idle, Bradford, West Yorkshire, BD10 8RU","01274 771999"
"Ilkley & Wharfedale Medical Practice","Springs Medical Centre, Springs Lane, Ilkley, West Yorkshire, LS29 8TQ","01943 604455"
"Ireland Wood Eye Clinic","Ireland Wood Surgery, 1st Floor Iveson Approach, Ireland Wood, Leeds, LS16 6FR",NA
"Jennyfield Health Centre","Grantley Drive, Harrogate, North Yorkshire, HG3 2XT","01423 524605"
"Jorvik Gillygate Practice, South Bank Surgery","175 Bishopthorpe Road, York, North Yorkshire, YO23 1PD","01904 405487"
"Kensington Partnership - Mughal Medical Centre","55 Ivanhoe Road, Bradford, West Yorkshire, BD7 3HY","01274 504425"
"Kensington Partnership - Woodroyd Medical Centre","Woodroyd Centre, Greenway Road, Bradford, BD5 8ER","01274 377712"
"King's Medical Practice","King Edward Street, Normanton, West Yorkshire, WF6 2AZ","01924 223909"
"Kingswood Surgery","14 Wetherby Road, Harrogate, North Yorkshire, HG2 7SA","01423 887733"
"Kippax Hall Surgery","54 High Street, Kippax, Leeds, West Yorkshire, LS25 7AB","0113 385 4558"
"Kirkgate Surgery","3 Kirkgate, Birstall, Batley, West Yorkshire, WF17 9HE","01924 420242"
"Kirkstall Lane Medical Centre","216 Kirkstall Lane, Leeds, West Yorkshire, LS6 3DS","0113 295 3666"
"Laurel Bank Surgery","216 Kirkstall Lane, Leeds, West Yorkshire, LS6 3DS","0113 295 3900"
"Lavender Grove Surgery","Lavender Grove, York, North Yorkshire, YO26 5RX","01904 404100"
"Leeds City Medical Practice","123 Cemetery Road, Beeston, Leeds, LS11 8LH","0113 467 7500"
"Leeds Student Medical Practice","4 Blenheim Court, Leeds, LS2 9AE","0113 295 4488"
"Leigh View Medical Practice","Leigh View Medical Centre, Bradford Road, Tingley, Wakefield, West Yorkshire, WF3 1RQ","0113 253 7629"
"Leylands Lane Medical Practice","81 Leylands Lane, Heaton, Bradford, BD9 5PZ","01274 770771"
"Lincoln Green Medical Centre","Burmantofts Health Centre, Cromwell Mount, Leeds, West Yorkshire, LS9 7TA","0113 221 1900"
"Ling House Medical Centre","49 Scott Street, Keighley, West Yorkshire, BD21 2JH","01535 605747"
"Lingwell Croft Surgery","16 Shelldrake Drive, Middleton, Leeds, West Yorkshire, LS10 3NB","0113 270 4848"
"Liversedge Medical Centre","Valley Road, Liversedge, West Yorkshire, WF15 6DF","01924 407771"
